Column1,n_comp,freq,threshold,sd,subj,task,run
1129,3,Low,-2.5,1.93649167,x53,Control,1
1139,3,Low,-5.125,0.375,x53,Control,2
1144,3,Low,-4.5,1.60078106,x53,Control,3
1154,3,Low,-9.0,0.93541435,x53,Control,4
1170,3,Low,-4.75,1.29903811,x53,Control,5
1175,3,Low,-4.5,1.19895788,x53,Control,6
1182,3,Low,-3.125,0.80039053,x53,Control,7
1200,3,Low,-3.875,0.80039053,x53,Control,8
1202,3,Low,-0.75,2.27760839,x53,Control,9
1218,3,Low,0.625,0.80039053,x53,Control,10
1227,3,Low,-5.25,0.93541435,x53,Control,11
1236,3,Low,-0.75,0.55901699,x53,Control,12
1123,3,High,-3.125,1.70018381,x53,Control,1
1133,3,High,0.25,1.5411035,x53,Control,2
1143,3,High,-2.875,2.89665756,x53,Control,3
1158,3,High,-1.125,1.17924764,x53,Control,4
1164,3,High,6.45833333,3.44727147,x53,Control,5
1178,3,High,2.0,1.29903811,x53,Control,6
1187,3,High,-5.5,1.22474487,x53,Control,7
1191,3,High,3.75,1.11803399,x53,Control,8
1208,3,High,8.66666667,1.25554326,x53,Control,9
1216,3,High,5.25,0.55901699,x53,Control,10
1229,3,High,-3.5,2.31840462,x53,Control,11
1231,3,High,-1.25,1.27475488,x53,Control,12
1241,3,Low,-7.625,1.46308749,x54,Control,1
1259,3,Low,0.875,1.41972709,x54,Control,2
1268,3,Low,-4.5,1.03077641,x54,Control,3
1271,3,Low,-1.125,1.70018381,x54,Control,4
1289,3,Low,-7.875,1.80710404,x54,Control,5
1299,3,Low,-10.375,0.83852549,x54,Control,6
1309,3,Low,-9.375,1.90804219,x54,Control,7
1320,3,Low,-9.75,1.19895788,x54,Control,8
1327,3,Low,-13.625,1.25623445,x54,Control,9
1337,3,Low,-11.125,1.28086885,x54,Control,10
1345,3,Low,-17.875,0.71807033,x54,Control,11
1358,3,Low,-11.75,2.54950976,x54,Control,12
1247,3,High,2.75,1.5612495,x54,Control,1
1254,3,High,-7.375,2.69548233,x54,Control,2
1263,3,High,1.25,1.36930639,x54,Control,3
1279,3,High,3.75,1.27475488,x54,Control,4
1282,3,High,-1.0,2.93683503,x54,Control,5
1292,3,High,-5.125,0.71807033,x54,Control,6
1308,3,High,-0.75,1.76776695,x54,Control,7
1318,3,High,-1.125,1.46308749,x54,Control,8
1326,3,High,-2.75,1.03077641,x54,Control,9
1334,3,High,-8.625,1.46308749,x54,Control,10
1346,3,High,-1.25,1.11803399,x54,Control,11
1352,3,High,-4.75,2.20794022,x54,Control,12
42,5,Low,-3.0,1.3462912,x32,Control,1
60,5,Low,-6.375,1.09687055,x32,Control,2
65,5,Low,-3.625,0.375,x32,Control,3
73,5,Low,-4.0,0.96824584,x32,Control,4
83,5,Low,-9.0,1.03077641,x32,Control,5
97,5,Low,-6.375,0.80039053,x32,Control,6
